Date,Link,Title,Y
2019-04-16 17:17:02.297682,https://medium.com/swlh/when-good-times-hide-bad-problems-c5499a9ee2df?source=topic_page---------0------------------1,When Good Times Hide Bad Problems,1
2019-04-16 17:17:02.297682,https://medium.com/swlh/corporate-grammar-passive-voice-and-the-death-of-accountability-9af9a9cb2b9?source=topic_page---------1------------------1,Corporate Grammar: Passive Voice and the Death of Accountability,0
2019-04-16 17:17:02.297682,https://medium.dave-bailey.com/how-to-build-transparency-into-your-leadership-team-4bc3d5a5d1cb?source=topic_page---------2------------------1,How to Get the Most Out of Reporting Meetings,1
2019-04-16 17:17:02.297682,https://medium.com/swlh/key-learns-from-startupbootcamp-c5a5e8a1a07b?source=topic_page---------4------------------1,Key Learns From StartupBootcamp,1
2019-04-16 17:17:02.297682,https://medium.com/swlh/how-to-develop-a-product-your-customers-actually-want-to-buy-c02ff1f02ec0?source=topic_page---------5------------------1,How to Develop a Product Your Customers Actually Want to Buy,0
2019-04-16 17:17:02.297682,https://medium.com/sep-berkeley/rethinking-stds-41bdde8e84ec?source=topic_page---------6------------------1,Rethinking STDs,1
2019-04-16 17:17:02.297682,https://medium.com/art-of-the-start/wear-sunscreen-on-advice-d1ea38a3382e?source=topic_page---------7------------------1,Wear Sunscreen: On Advice,0
2019-04-16 17:17:02.297682,https://medium.com/@bigyahu/the-most-common-mistake-startups-make-4aa04ac20548?source=topic_page---------8------------------1,The most common mistake startups make,0
2019-04-16 17:17:02.297682,https://medium.com/inc./what-can-these-game-of-thrones-leaders-teach-your-company-about-surviving-speed-of-change-9872fc2580c9?source=topic_page---------9------------------1,What Can These ‘Game of Thrones’ Leaders Teach Your Company About Surviving Speed of Change?,0
2019-04-16 17:17:02.297682,https://medium.com/inc./duolingos-april-fools-prank-went-viral-here-s-what-you-can-learn-from-it-d9743fcbe410?source=topic_page---------10------------------1,Duolingo’s April Fools’ Prank Went Viral. Here’s What You Can Learn From It.,1
2019-04-16 17:17:16.519053,https://medium.com/@alisonmain/icantconcentrate-1e3e070edb4a?source=topic_page---------0------------------1,iCan’tConcentrate,1
2019-04-16 17:17:16.519053,https://medium.com/sep-berkeley/rethinking-stds-41bdde8e84ec?source=topic_page---------1------------------1,Rethinking STDs,0
2019-04-16 17:17:16.519053,https://medium.com/@NautilusMag/ingenious-christof-koch-5f4fca85372d?source=topic_page---------2------------------1,Ingenious: Christof Koch,0
2019-04-16 17:17:16.519053,https://medium.com/fast-company/how-to-find-hidden-cameras-in-your-airbnb-and-anywhere-else-d1de793f7ddc?source=topic_page---------4------------------1,How to Find Hidden Cameras in Your Airbnb and Anywhere Else,0
2019-04-16 17:17:16.519053,https://medium.com/the-new-york-times/one-month-500-000-face-scans-how-china-is-using-a-i-to-profile-a-minority-b49e93d5a9d3?source=topic_page---------5------------------1,One Month 500000 Face Scans: How China Is Using A.I. to Profile a Minority,0
2019-04-16 17:17:16.519053,https://onezero.medium.com/online-conspiracy-theories-start-with-the-young-5774f221a436?source=topic_page---------6------------------1,Online Conspiracy Theories Start With the Young,0
2019-04-16 17:17:16.519053,https://medium.com/financial-times/lex-in-depth-can-snap-survive-22d776c6e111?source=topic_page---------7------------------1,Lex in Depth: Can Snap Survive?,0
2019-04-16 17:17:16.519053,https://medium.com/the-atlantic/the-dark-saga-of-katie-bouman-3e3888011520?source=topic_page---------8------------------1,The Dark Saga of Katie Bouman,0
2019-04-16 17:17:16.519053,https://onezero.medium.com/a-male-birth-control-pill-wont-change-society-b28c17abc483?source=topic_page---------9------------------1,A Male Birth Control Pill Won’t Change Society,0
2019-04-16 17:17:05.216937,https://www.actuia.com/actualite/edtech-lintelligence-artificielle-contre-le-decrochage-la-reponse-de-la-start-up-francaise-evidenceb-kidscode/,EdTech : L’intelligence artificielle contre le décrochage ? La réponse de...,1
2019-04-16 17:17:05.216937,https://www.actuia.com/actualite/4e-promo-shaker-et-booster-genopole-presente-les-11-innovateurs-biotechs-laureats/,4e promo Shaker et Booster : Genopole présente les 11 innovateurs...,0
2019-04-16 17:17:05.216937,https://www.actuia.com/actualite/sante-partenariat-doctegestio-et-cea-list-pour-alleger-les-missions-administratives-des-medecins-hospitaliers-grace-a-lia/,Santé : Partenariat DocteGestio et CEA-List pour alléger les missions administratives...,0
2019-04-16 17:17:05.216937,https://www.actuia.com/actualite/le-cnrs-le-cifar-et-ukri-creent-des-ateliers-de-recherche-intelligence-artificielle-et-societe/,Le CNRS le CIFAR et UKRI créent des ateliers de recherche...,0
2019-04-16 17:17:05.216937,https://www.actuia.com/actualite/google-presente-de-nombreux-produits-et-services-dintelligence-artificielle-dont-ai-hub/,Google présente de nombreux produits et services d’intelligence artificielle dont AI...,1
2019-04-16 17:17:05.216937,https://www.actuia.com/actualite/10-projets-innovants-issus-des-laboratoires-de-recherche-regionaux-seront-presentes-lors-de-la-vitrine-technologique-du-forum-5i/,10 projets innovants issus des laboratoires de recherche régionaux seront présentés...,1
2019-04-16 17:17:05.216937,https://www.actuia.com/actualite/reconnaissance-faciale-la-surveillance-au-coin-de-la-rue-podcast-de-la-methode-scientifique/,Reconnaissance faciale : la surveillance au coin de la rue –...,1
2019-04-16 17:17:05.216937,https://www.actuia.com/actualite/la-methode-scientifique-80-ans-du-cnrs-au-college-de-france-quel-avenir-pour-la-recherche-francaise/,La méthode scientifique : 80 ans du CNRS au Collège de...,1
2019-04-16 17:17:07.671629,https://www.datasciencecentral.com/profiles/blogs/ai-ml-lessons-for-creating-a-platform-strategy-part-2,AI/ML Lessons for Creating a Platform Strategy – Part 2,1
